year_film,year_ceremony,category,film,name
1999,2000,FOREIGN LANGUAGE FILM,All about My Mother,Spain
1999,2000,MAKEUP,Topsy-Turvy,"Christine Blundell, Trefor Proud"
1999,2000,MUSIC (Original Score),The Red Violin,John Corigliano
1999,2000,MUSIC (Original Song),Tarzan,Music and Lyric by Phil Collins
1999,2000,SHORT FILM (Animated),The Old Man and the Sea (1999),Alexander Petrov
1999,2000,SHORT FILM (Live Action),My Mother Dreams the Satan's Disciples in New York,"Barbara Schock, Tammy Tiehel"
1999,2000,SOUND,The Matrix,"John Reitz, Gregg Rudloff, David Campbell, David Lee"
1999,2000,SOUND EFFECTS EDITING,The Matrix,Dane A. Davis
1999,2000,VISUAL EFFECTS,The Matrix,"John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum"
1999,2000,WRITING (Screenplay Based on Material Previously Produced or Published),The Cider House Rules,John Irving
1999,2000,WRITING (Screenplay Written Directly for the Screen),American Beauty,Alan Ball
2000,2001,ACTOR IN A LEADING ROLE,Gladiator,Russell Crowe
2000,2001,ACTOR IN A SUPPORTING ROLE,Traffic,Benicio Del Toro
2000,2001,ACTRESS IN A LEADING ROLE,Erin Brockovich,Julia Roberts
2000,2001,ACTRESS IN A SUPPORTING ROLE,Pollock,Marcia Gay Harden
2000,2001,ART DIRECTION,"Crouching Tiger, Hidden Dragon",Tim Yip
2000,2001,BEST PICTURE,Gladiator,"Douglas Wick, David Franzoni and Branko Lustig, Producers"
2000,2001,CINEMATOGRAPHY,"Crouching Tiger, Hidden Dragon",Peter Pau
2000,2001,COSTUME DESIGN,Gladiator,Janty Yates
2000,2001,DIRECTING,Traffic,Steven Soderbergh
2000,2001,DOCUMENTARY (Feature),Into the Arms of Strangers: Stories of the Kindertransport,"Mark Jonathan Harris, Deborah Oppenheimer"
2000,2001,DOCUMENTARY (Short Subject),Big Mama,Tracy Seretean
2000,2001,FILM EDITING,Traffic,Stephen Mirrione
2000,2001,FOREIGN LANGUAGE FILM,"Crouching Tiger, Hidden Dragon",Taiwan
2000,2001,MAKEUP,Dr. Seuss' How the Grinch Stole Christmas,"Rick Baker, Gail Ryan"
2000,2001,MUSIC (Original Score),"Crouching Tiger, Hidden Dragon",Tan Dun
2000,2001,MUSIC (Original Song),Wonder Boys,Music and Lyric by Bob Dylan
2000,2001,SHORT FILM (Animated),Father and Daughter,Michael Dudok de Wit
2000,2001,SHORT FILM (Live Action),Quiero Ser (I want to be...),Florian Gallenberger
2000,2001,SOUND,Gladiator,"Scott Millan, Bob Beemer, Ken Weston"
2000,2001,SOUND EDITING,U-571,Jon Johnson
2000,2001,VISUAL EFFECTS,Gladiator,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey"
2000,2001,WRITING (Screenplay Based on Material Previously Produced or Published),Traffic,Screenplay by Stephen Gaghan
2000,2001,WRITING (Screenplay Written Directly for the Screen),Almost Famous,Written by Cameron Crowe
